Questions,Acceptance Rate,Difficulty
645. Set Mismatch,42.6%,Easy
646. Maximum Length of Pair Chain,56.6%,Medium
647. Palindromic Substrings,67.0%,Medium
648. Replace Words,62.7%,Medium
649. Dota2 Senate,48.1%,Medium
650. 2 Keys Keyboard,53.5%,Medium
651. 4 Keys Keyboard,55.8%,Medium
652. Find Duplicate Subtrees,59.0%,Medium
653. Two Sum IV - Input is a BST,61.1%,Easy
654. Maximum Binary Tree,84.8%,Medium
655. Print Binary Tree,62.1%,Medium
656. Coin Path,31.8%,Hard
657. Robot Return to Origin,75.3%,Easy
658. Find K Closest Elements,46.8%,Medium
659. Split Array into Consecutive Subsequences,50.8%,Medium
660. Remove 9,57.3%,Hard
661. Image Smoother,55.5%,Easy
662. Maximum Width of Binary Tree,42.7%,Medium
663. Equal Tree Partition,41.4%,Medium
664. Strange Printer,46.9%,Hard
665. Non-decreasing Array,24.3%,Medium
666. Path Sum IV,59.5%,Medium
667. Beautiful Arrangement II,59.8%,Medium
668. Kth Smallest Number in Multiplication Table,51.4%,Hard
669. Trim a Binary Search Tree,66.4%,Medium
670. Maximum Swap,47.8%,Medium
671. Second Minimum Node In a Binary Tree,44.1%,Easy
672. Bulb Switcher II,50.4%,Medium
673. Number of Longest Increasing Subsequence,43.0%,Medium
674. Longest Continuous Increasing Subsequence,49.3%,Easy
675. Cut Off Trees for Golf Event,34.1%,Hard
676. Implement Magic Dictionary,57.0%,Medium
677. Map Sum Pairs,56.8%,Medium
678. Valid Parenthesis String,34.2%,Medium
679. 24 Game,49.2%,Hard
680. Valid Palindrome II,39.4%,Easy
681. Next Closest Time,46.4%,Medium
682. Baseball Game,74.5%,Easy
683. K Empty Slots,37.0%,Hard
684. Redundant Connection,62.3%,Medium
685. Redundant Connection II,34.1%,Hard
686. Repeated String Match,34.2%,Medium
687. Longest Univalue Path,40.5%,Medium
688. Knight Probability in Chessboard,52.1%,Medium
689. Maximum Sum of 3 Non-Overlapping Subarrays,48.9%,Hard
690. Employee Importance,65.7%,Medium
691. Stickers to Spell Word,46.4%,Hard
692. Top K Frequent Words,57.3%,Medium
693. Binary Number with Alternating Bits,61.6%,Easy
694. Number of Distinct Islands,60.8%,Medium
695. Max Area of Island,71.8%,Medium
696. Count Binary Substrings,65.4%,Easy
697. Degree of an Array,56.0%,Easy
698. Partition to K Equal Sum Subsets,39.7%,Medium
699. Falling Squares,44.7%,Hard
700. Search in a Binary Search Tree,77.9%,Easy
701. Insert into a Binary Search Tree,74.2%,Medium
702. Search in a Sorted Array of Unknown Size,71.6%,Medium
703. Kth Largest Element in a Stream,56.8%,Easy
704. Binary Search,56.3%,Easy
705. Design HashSet,65.6%,Easy
706. Design HashMap,64.6%,Easy
707. Design Linked List,27.7%,Medium
708. Insert into a Sorted Circular Linked List,34.6%,Medium
709. To Lower Case,82.5%,Easy
710. Random Pick with Blacklist,33.5%,Hard
711. Number of Distinct Islands II,52.1%,Hard
712. Minimum ASCII Delete Sum for Two Strings,62.6%,Medium
713. Subarray Product Less Than K,45.9%,Medium
714. Best Time to Buy and Sell Stock with Transaction Fee,65.4%,Medium
715. Range Module,44.6%,Hard
716. Max Stack,45.1%,Hard
717. 1-bit and 2-bit Characters,45.6%,Easy
718. Maximum Length of Repeated Subarray,51.2%,Medium
719. Find K-th Smallest Pair Distance,36.8%,Hard
720. Longest Word in Dictionary,52.0%,Medium
721. Accounts Merge,56.3%,Medium
722. Remove Comments,38.3%,Medium
723. Candy Crush,76.6%,Medium
724. Find Pivot Index,55.1%,Easy
725. Split Linked List in Parts,57.3%,Medium
726. Number of Atoms,52.3%,Hard
727. Minimum Window Subsequence,43.1%,Hard
728. Self Dividing Numbers,77.9%,Easy
729. My Calendar I,56.8%,Medium
730. Count Different Palindromic Subsequences,44.5%,Hard
731. My Calendar II,55.0%,Medium
732. My Calendar III,71.5%,Hard
733. Flood Fill,62.3%,Easy
734. Sentence Similarity,44.0%,Easy
735. Asteroid Collision,44.4%,Medium
736. Parse Lisp Expression,51.6%,Hard
737. Sentence Similarity II,49.1%,Medium
738. Monotone Increasing Digits,47.3%,Medium
739. Daily Temperatures,66.2%,Medium
740. Delete and Earn,56.9%,Medium
741. Cherry Pickup,36.2%,Hard
742. Closest Leaf in a Binary Tree,45.9%,Medium
743. Network Delay Time,52.0%,Medium
744. Find Smallest Letter Greater Than Target,46.2%,Easy
745. Prefix and Suffix Search,41.2%,Hard
746. Min Cost Climbing Stairs,63.4%,Easy
747. Largest Number At Least Twice of Others,47.3%,Easy
748. Shortest Completing Word,59.2%,Easy
749. Contain Virus,50.9%,Hard
750. Number Of Corner Rectangles,67.6%,Medium
751. IP to CIDR,54.4%,Medium
752. Open the Lock,55.7%,Medium
753. Cracking the Safe,55.9%,Hard
754. Reach a Number,42.7%,Medium
755. Pour Water,46.5%,Medium
756. Pyramid Transition Matrix,52.7%,Medium
757. Set Intersection Size At Least Two,43.8%,Hard
758. Bold Words in String,50.9%,Medium
759. Employee Free Time,71.8%,Hard
760. Find Anagram Mappings,83.3%,Easy
761. Special Binary String,60.4%,Hard
762. Prime Number of Set Bits in Binary Representation,68.1%,Easy
763. Partition Labels,79.7%,Medium
764. Largest Plus Sign,48.3%,Medium
765. Couples Holding Hands,56.6%,Hard
766. Toeplitz Matrix,68.5%,Easy
767. Reorganize String,52.9%,Medium
768. Max Chunks To Make Sorted II,52.8%,Hard
769. Max Chunks To Make Sorted,58.3%,Medium
770. Basic Calculator IV,55.2%,Hard
771. Jewels and Stones,88.2%,Easy
772. Basic Calculator III,49.0%,Hard
773. Sliding Puzzle,64.1%,Hard
774. Minimize Max Distance to Gas Station,51.9%,Hard
775. Global and Local Inversions,43.2%,Medium
776. Split BST,82.5%,Medium
777. Swap Adjacent in LR String,36.8%,Medium
778. Swim in Rising Water,59.8%,Hard
779. K-th Symbol in Grammar,41.4%,Medium
780. Reaching Points,32.6%,Hard
781. Rabbits in Forest,54.6%,Medium
782. Transform to Chessboard,51.4%,Hard
783. Minimum Distance Between BST Nodes,59.3%,Easy
784. Letter Case Permutation,73.8%,Medium
785. Is Graph Bipartite?,54.5%,Medium
786. K-th Smallest Prime Fraction,51.9%,Medium
787. Cheapest Flights Within K Stops,37.1%,Medium
788. Rotated Digits,56.6%,Medium
789. Escape The Ghosts,61.0%,Medium
790. Domino and Tromino Tiling,52.7%,Medium
791. Custom Sort String,69.0%,Medium
792. Number of Matching Subsequences,51.6%,Medium
793. Preimage Size of Factorial Zeroes Function,43.4%,Hard
794. Valid Tic-Tac-Toe State,35.0%,Medium
795. Number of Subarrays with Bounded Maximum,52.7%,Medium
796. Rotate String,55.5%,Easy
797. All Paths From Source to Target,82.3%,Medium
798. Smallest Rotation with Highest Score,50.5%,Hard
799. Champagne Tower,51.3%,Medium
800. Similar RGB Color,66.9%,Easy
801. Minimum Swaps To Make Sequences Increasing,39.4%,Hard
802. Find Eventual Safe States,57.2%,Medium
803. Bricks Falling When Hit,34.4%,Hard
804. Unique Morse Code Words,82.6%,Easy
805. Split Array With Same Average,25.7%,Hard
806. Number of Lines To Write String,66.8%,Easy
807. Max Increase to Keep City Skyline,86.0%,Medium
808. Soup Servings,43.6%,Medium
809. Expressive Words,46.2%,Medium
810. Chalkboard XOR Game,56.1%,Hard
811. Subdomain Visit Count,75.6%,Medium
812. Largest Triangle Area,59.9%,Easy
813. Largest Sum of Averages,52.9%,Medium
814. Binary Tree Pruning,72.4%,Medium
815. Bus Routes,45.6%,Hard
816. Ambiguous Coordinates,56.3%,Medium
817. Linked List Components,57.5%,Medium
818. Race Car,43.4%,Hard
819. Most Common Word,44.7%,Easy
820. Short Encoding of Words,60.6%,Medium
821. Shortest Distance to a Character,71.3%,Easy
822. Card Flipping Game,46.0%,Medium
823. Binary Trees With Factors,49.7%,Medium
824. Goat Latin,67.9%,Easy
825. Friends Of Appropriate Ages,46.3%,Medium
826. Most Profit Assigning Work,45.0%,Medium
827. Making A Large Island,45.0%,Hard
828. Count Unique Characters of All Substrings of a Given String,51.6%,Hard
829. Consecutive Numbers Sum,41.6%,Hard
830. Positions of Large Groups,51.8%,Easy
831. Masking Personal Information,47.5%,Medium
832. Flipping an Image,80.9%,Easy
833. Find And Replace in String,53.9%,Medium
834. Sum of Distances in Tree,59.1%,Hard
835. Image Overlap,63.8%,Medium
836. Rectangle Overlap,43.9%,Easy
837. New 21 Game,36.2%,Medium
838. Push Dominoes,57.0%,Medium
839. Similar String Groups,54.4%,Hard
840. Magic Squares In Grid,38.7%,Medium
841. Keys and Rooms,71.7%,Medium
842. Split Array into Fibonacci Sequence,38.4%,Medium
843. Guess the Word,41.2%,Hard
844. Backspace String Compare,48.1%,Easy
845. Longest Mountain in Array,40.2%,Medium
846. Hand of Straights,56.1%,Medium
847. Shortest Path Visiting All Nodes,60.8%,Hard
848. Shifting Letters,45.1%,Medium
849. Maximize Distance to Closest Person,47.6%,Medium
850. Rectangle Area II,53.9%,Hard
851. Loud and Rich,58.6%,Medium
852. Peak Index in a Mountain Array,68.9%,Medium
853. Car Fleet,50.3%,Medium
854. K-Similar Strings,40.0%,Hard
855. Exam Room,43.4%,Medium
856. Score of Parentheses,64.6%,Medium
857. Minimum Cost to Hire K Workers,52.4%,Hard
858. Mirror Reflection,63.0%,Medium
859. Buddy Strings,29.2%,Easy
860. Lemonade Change,52.9%,Easy
861. Score After Flipping Matrix,74.9%,Medium
862. Shortest Subarray with Sum at Least K,26.0%,Hard
863. All Nodes Distance K in Binary Tree,62.3%,Medium
864. Shortest Path to Get All Keys,45.6%,Hard
865. Smallest Subtree with all the Deepest Nodes,69.0%,Medium
866. Prime Palindrome,25.8%,Medium
867. Transpose Matrix,64.6%,Easy
868. Binary Gap,62.3%,Easy
869. Reordered Power of 2,63.4%,Medium
870. Advantage Shuffle,51.9%,Medium
871. Minimum Number of Refueling Stops,39.8%,Hard
872. Leaf-Similar Trees,67.7%,Easy
873. Length of Longest Fibonacci Subsequence,48.3%,Medium
874. Walking Robot Simulation,39.1%,Medium
875. Koko Eating Bananas,51.9%,Medium
876. Middle of the Linked List,75.9%,Easy
877. Stone Game,69.8%,Medium
878. Nth Magical Number,35.3%,Hard
879. Profitable Schemes,49.5%,Hard
880. Decoded String at Index,28.4%,Medium
881. Boats to Save People,55.8%,Medium
882. Reachable Nodes In Subdivided Graph,50.0%,Hard
883. Projection Area of 3D Shapes,71.4%,Easy
884. Uncommon Words from Two Sentences,66.4%,Easy
885. Spiral Matrix III,73.7%,Medium
886. Possible Bipartition,50.1%,Medium
887. Super Egg Drop,27.1%,Hard
888. Fair Candy Swap,60.8%,Easy
889. Construct Binary Tree from Preorder and Postorder Traversal,71.1%,Medium
890. Find and Replace Pattern,77.4%,Medium
891. Sum of Subsequence Widths,36.8%,Hard
892. Surface Area of 3D Shapes,64.2%,Easy
893. Groups of Special-Equivalent Strings,71.1%,Medium
894. All Possible Full Binary Trees,80.0%,Medium
895. Maximum Frequency Stack,66.6%,Hard
896. Monotonic Array,58.4%,Easy
897. Increasing Order Search Tree,78.3%,Easy
898. Bitwise ORs of Subarrays,37.3%,Medium
899. Orderly Queue,66.1%,Hard
900. RLE Iterator,59.4%,Medium
901. Online Stock Span,65.3%,Medium
902. Numbers At Most N Given Digit Set,41.5%,Hard
903. Valid Permutations for DI Sequence,57.7%,Hard
904. Fruit Into Baskets,43.7%,Medium
905. Sort Array By Parity,75.5%,Easy
906. Super Palindromes,38.9%,Hard
907. Sum of Subarray Minimums,35.7%,Medium
908. Smallest Range I,68.3%,Easy
909. Snakes and Ladders,45.1%,Medium
910. Smallest Range II,35.4%,Medium
911. Online Election,52.2%,Medium
912. Sort an Array,59.1%,Medium
913. Cat and Mouse,34.8%,Hard
914. X of a Kind in a Deck of Cards,30.9%,Easy
915. Partition Array into Disjoint Intervals,48.5%,Medium
916. Word Subsets,53.6%,Medium
917. Reverse Only Letters,62.3%,Easy
918. Maximum Sum Circular Subarray,43.1%,Medium
919. Complete Binary Tree Inserter,64.7%,Medium
920. Number of Music Playlists,50.7%,Hard
921. Minimum Add to Make Parentheses Valid,75.6%,Medium
922. Sort Array By Parity II,70.6%,Easy
923. 3Sum With Multiplicity,45.3%,Medium
924. Minimize Malware Spread,42.1%,Hard
925. Long Pressed Name,33.0%,Easy
926. Flip String to Monotone Increasing,61.4%,Medium
927. Three Equal Parts,39.6%,Hard
928. Minimize Malware Spread II,42.8%,Hard
929. Unique Email Addresses,67.0%,Easy
930. Binary Subarrays With Sum,52.6%,Medium
931. Minimum Falling Path Sum,69.1%,Medium
932. Beautiful Array,65.2%,Medium
933. Number of Recent Calls,73.2%,Easy
934. Shortest Bridge,57.7%,Medium
935. Knight Dialer,50.7%,Medium
936. Stamping The Sequence,62.8%,Hard
937. Reorder Data in Log Files,56.4%,Medium
938. Range Sum of BST,85.8%,Easy
939. Minimum Area Rectangle,53.0%,Medium
940. Distinct Subsequences II,43.7%,Hard
941. Valid Mountain Array,33.4%,Easy
942. DI String Match,77.4%,Easy
943. Find the Shortest Superstring,44.3%,Hard
944. Delete Columns to Make Sorted,74.7%,Easy
945. Minimum Increment to Make Array Unique,51.4%,Medium
946. Validate Stack Sequences,69.4%,Medium
947. Most Stones Removed with Same Row or Column,58.9%,Medium
948. Bag of Tokens,52.1%,Medium
949. Largest Time for Given Digits,35.2%,Medium
950. Reveal Cards In Increasing Order,77.8%,Medium
951. Flip Equivalent Binary Trees,66.8%,Medium
952. Largest Component Size by Common Factor,40.0%,Hard
953. Verifying an Alien Dictionary,54.5%,Easy
954. Array of Doubled Pairs,39.1%,Medium
955. Delete Columns to Make Sorted II,34.7%,Medium
956. Tallest Billboard,39.8%,Hard
957. Prison Cells After N Days,39.0%,Medium
958. Check Completeness of a Binary Tree,56.2%,Medium
959. Regions Cut By Slashes,69.0%,Medium
960. Delete Columns to Make Sorted III,56.9%,Hard
961. N-Repeated Element in Size 2N Array,76.1%,Easy
962. Maximum Width Ramp,48.9%,Medium
963. Minimum Area Rectangle II,54.6%,Medium
964. Least Operators to Express Number,48.0%,Hard
965. Univalued Binary Tree,69.8%,Easy
966. Vowel Spellchecker,51.4%,Medium
967. Numbers With Same Consecutive Differences,57.4%,Medium
968. Binary Tree Cameras,46.6%,Hard
969. Pancake Sorting,70.2%,Medium
970. Powerful Integers,43.7%,Medium
971. Flip Binary Tree To Match Preorder Traversal,50.0%,Medium
972. Equal Rational Numbers,43.2%,Hard
973. K Closest Points to Origin,65.8%,Medium
974. Subarray Sums Divisible by K,54.3%,Medium
975. Odd Even Jump,38.9%,Hard
976. Largest Perimeter Triangle,54.7%,Easy
977. Squares of a Sorted Array,71.9%,Easy
978. Longest Turbulent Subarray,47.2%,Medium
979. Distribute Coins in Binary Tree,72.3%,Medium
980. Unique Paths III,81.6%,Hard
981. Time Based Key-Value Store,51.9%,Medium
982. Triples with Bitwise AND Equal To Zero,57.6%,Hard
983. Minimum Cost For Tickets,65.8%,Medium
984. String Without AAA or BBB,43.3%,Medium
985. Sum of Even Numbers After Queries,68.1%,Medium
986. Interval List Intersections,71.3%,Medium
987. Vertical Order Traversal of a Binary Tree,45.2%,Hard
988. Smallest String Starting From Leaf,50.3%,Medium
989. Add to Array-Form of Integer,46.9%,Easy
990. Satisfiability of Equality Equations,50.5%,Medium
991. Broken Calculator,54.2%,Medium
992. Subarrays with K Different Integers,54.7%,Hard
993. Cousins in Binary Tree,54.8%,Easy
994. Rotting Oranges,53.1%,Medium
995. Minimum Number of K Consecutive Bit Flips,51.2%,Hard
996. Number of Squareful Arrays,49.2%,Hard
997. Find the Town Judge,49.5%,Easy
998. Maximum Binary Tree II,67.4%,Medium
999. Available Captures for Rook,68.2%,Easy
1000. Minimum Cost to Merge Stones,42.3%,Hard
1001. Grid Illumination,36.2%,Hard
1002. Find Common Characters,68.5%,Easy
1003. Check If Word Is Valid After Substitutions,58.3%,Medium
1004. Max Consecutive Ones III,63.2%,Medium
1005. Maximize Sum Of Array After K Negations,50.8%,Easy
1006. Clumsy Factorial,55.7%,Medium
1007. Minimum Domino Rotations For Equal Row,52.3%,Medium
1008. Construct Binary Search Tree from Preorder Traversal,81.2%,Medium
1009. Complement of Base 10 Integer,61.4%,Easy
1010. Pairs of Songs With Total Durations Divisible by 60,52.7%,Medium
1011. Capacity To Ship Packages Within D Days,67.8%,Medium
1012. Numbers With Repeated Digits,39.7%,Hard
1013. Partition Array Into Three Parts With Equal Sum,42.6%,Easy
1014. Best Sightseeing Pair,59.4%,Medium
1015. Smallest Integer Divisible by K,46.9%,Medium
1016. Binary String With Substrings Representing 1 To N,57.3%,Medium
1017. Convert to Base -2,60.6%,Medium
1018. Binary Prefix Divisible By 5,46.8%,Easy
1019. Next Greater Node In Linked List,60.0%,Medium
1020. Number of Enclaves,68.7%,Medium
1021. Remove Outermost Parentheses,80.8%,Easy
1022. Sum of Root To Leaf Binary Numbers,73.5%,Easy
1023. Camelcase Matching,60.9%,Medium
1024. Video Stitching,50.5%,Medium
1025. Divisor Game,67.7%,Easy
1026. Maximum Difference Between Node and Ancestor,75.7%,Medium
1027. Longest Arithmetic Subsequence,46.7%,Medium
1028. Recover a Tree From Preorder Traversal,73.3%,Hard
1029. Two City Scheduling,65.5%,Medium
1030. Matrix Cells in Distance Order,69.8%,Easy
1031. Maximum Sum of Two Non-Overlapping Subarrays,59.6%,Medium
1032. Stream of Characters,51.7%,Hard
1033. Moving Stones Until Consecutive,46.4%,Medium
1034. Coloring A Border,49.2%,Medium
1035. Uncrossed Lines,61.9%,Medium
1036. Escape a Large Maze,34.2%,Hard
1037. Valid Boomerang,36.9%,Easy
1038. Binary Search Tree to Greater Sum Tree,85.5%,Medium
1039. Minimum Score Triangulation of Polygon,55.8%,Medium
1040. Moving Stones Until Consecutive II,56.2%,Medium
1041. Robot Bounded In Circle,55.3%,Medium
1042. Flower Planting With No Adjacent,50.7%,Medium
1043. Partition Array for Maximum Sum,71.7%,Medium
1044. Longest Duplicate Substring,30.6%,Hard
1045. Customers Who Bought All Products,65.2%,Medium
1046. Last Stone Weight,65.5%,Easy
1047. Remove All Adjacent Duplicates In String,69.4%,Easy
1048. Longest String Chain,59.3%,Medium
1049. Last Stone Weight II,53.4%,Medium
1050. Actors and Directors Who Cooperated At Least Three Times,70.1%,Easy
1051. Height Checker,75.7%,Easy
1052. Grumpy Bookstore Owner,57.1%,Medium
1053. Previous Permutation With One Swap,50.3%,Medium
1054. Distant Barcodes,45.9%,Medium
1055. Shortest Way to Form String,59.8%,Medium
1056. Confusing Number,48.4%,Easy
1057. Campus Bikes,57.6%,Medium
1058. Minimize Rounding Error to Meet Target,45.0%,Medium
1059. All Paths from Source Lead to Destination,39.0%,Medium
1060. Missing Element in Sorted Array,54.8%,Medium
1061. Lexicographically Smallest Equivalent String,76.6%,Medium
1062. Longest Repeating Substring,59.3%,Medium
1063. Number of Valid Subarrays,74.4%,Hard
1064. Fixed Point,64.1%,Easy
1065. Index Pairs of a String,66.4%,Easy
1066. Campus Bikes II,54.9%,Medium
1067. Digit Count in Range,45.3%,Hard
1068. Product Sales Analysis I,81.7%,Easy
1069. Product Sales Analysis II,81.9%,Easy
1070. Product Sales Analysis III,47.7%,Medium
1071. Greatest Common Divisor of Strings,55.9%,Easy
1072. Flip Columns For Maximum Number of Equal Rows,63.5%,Medium
1073. Adding Two Negabinary Numbers,36.4%,Medium
1074. Number of Submatrices That Sum to Target,69.5%,Hard
1075. Project Employees I,65.2%,Easy
1076. Project Employees II,50.1%,Easy
1077. Project Employees III,77.0%,Medium
1078. Occurrences After Bigram,63.5%,Easy
1079. Letter Tile Possibilities,76.0%,Medium
1080. Insufficient Nodes in Root to Leaf Paths,53.7%,Medium
1081. Smallest Subsequence of Distinct Characters,58.0%,Medium
1082. Sales Analysis I,74.7%,Easy
1083. Sales Analysis II,49.8%,Easy
1084. Sales Analysis III,48.4%,Easy
1085. Sum of Digits in the Minimum Number,76.4%,Easy
1086. High Five,75.0%,Easy
1087. Brace Expansion,66.2%,Medium
1088. Confusing Number II,47.2%,Hard
1089. Duplicate Zeros,51.6%,Easy
1090. Largest Values From Labels,61.1%,Medium
1091. Shortest Path in Binary Matrix,44.8%,Medium
1092. Shortest Common Supersequence,58.0%,Hard
1093. Statistics from a Large Sample,43.1%,Medium
1094. Car Pooling,56.8%,Medium
1095. Find in Mountain Array,35.3%,Hard
1096. Brace Expansion II,63.5%,Hard
1097. Game Play Analysis V,52.9%,Hard
1098. Unpopular Books,43.9%,Medium
1099. Two Sum Less Than K,61.1%,Easy
1100. Find K-Length Substrings With No Repeated Characters,74.7%,Medium
1101. The Earliest Moment When Everyone Become Friends,64.6%,Medium
1102. Path With Maximum Minimum Value,53.3%,Medium
1103. Distribute Candies to People,64.4%,Easy
1104. Path In Zigzag Labelled Binary Tree,75.1%,Medium
1105. Filling Bookcase Shelves,59.5%,Medium
1106. Parsing A Boolean Expression,58.4%,Hard
1107. New Users Daily Count,45.0%,Medium
1108. Defanging an IP Address,89.0%,Easy
1109. Corporate Flight Bookings,60.7%,Medium
1110. Delete Nodes And Return Forest,69.3%,Medium
1111. Maximum Nesting Depth of Two Valid Parentheses Strings,72.9%,Medium
1112. Highest Grade For Each Student,71.7%,Medium
1113. Reported Posts,65.2%,Easy
1114. Print in Order,68.5%,Easy
1115. Print FooBar Alternately,62.9%,Medium
1116. Print Zero Even Odd,60.3%,Medium
1117. Building H2O,55.7%,Medium
1118. Number of Days in a Month,57.2%,Easy
1119. Remove Vowels from a String,90.8%,Easy
1120. Maximum Average Subtree,65.6%,Medium
1121. Divide Array Into Increasing Sequences,60.7%,Hard
1122. Relative Sort Array,68.6%,Easy
1123. Lowest Common Ancestor of Deepest Leaves,70.9%,Medium
1124. Longest Well-Performing Interval,34.6%,Medium
1125. Smallest Sufficient Team,47.1%,Hard
1126. Active Businesses,66.5%,Medium
1127. User Purchase Platform,49.3%,Hard
1128. Number of Equivalent Domino Pairs,47.2%,Easy
1129. Shortest Path with Alternating Colors,48.4%,Medium
1130. Minimum Cost Tree From Leaf Values,68.2%,Medium
1131. Maximum of Absolute Value Expression,49.0%,Medium
1132. Reported Posts II,33.0%,Medium
1133. Largest Unique Number,67.8%,Easy
1134. Armstrong Number,77.8%,Easy
1135. Connecting Cities With Minimum Cost,61.4%,Medium
1136. Parallel Courses,61.4%,Medium
1137. N-th Tribonacci Number,63.6%,Easy
1138. Alphabet Board Path,52.0%,Medium
1139. Largest 1-Bordered Square,50.2%,Medium
1140. Stone Game II,64.6%,Medium
1141. User Activity for the Past 30 Days I,48.4%,Easy
1142. User Activity for the Past 30 Days II,35.7%,Easy
1143. Longest Common Subsequence,58.3%,Medium
1144. Decrease Elements To Make Array Zigzag,47.3%,Medium
1145. Binary Tree Coloring Game,51.8%,Medium
1146. Snapshot Array,37.0%,Medium
1147. Longest Chunked Palindrome Decomposition,59.0%,Hard
1148. Article Views I,75.8%,Easy
1149. Article Views II,47.1%,Medium
1150. Check If a Number Is Majority Element in a Sorted Array,57.2%,Easy
1151. Minimum Swaps to Group All 1's Together,60.9%,Medium
1152. Analyze User Website Visit Pattern,43.1%,Medium
1153. String Transforms Into Another String,35.3%,Hard
1154. Day of the Year,49.3%,Easy
1155. Number of Dice Rolls With Target Sum,54.0%,Medium
1156. Swap For Longest Repeated Character Substring,44.9%,Medium
1157. Online Majority Element In Subarray,41.8%,Hard
1158. Market Analysis I,59.2%,Medium
1159. Market Analysis II,57.6%,Hard
1160. Find Words That Can Be Formed by Characters,67.3%,Easy
1161. Maximum Level Sum of a Binary Tree,66.0%,Medium
1162. As Far from Land as Possible,51.8%,Medium
1163. Last Substring in Lexicographical Order,34.8%,Hard
1164. Product Price at a Given Date,64.7%,Medium
1165. Single-Row Keyboard,86.6%,Easy
1166. Design File System,62.1%,Medium
1167. Minimum Cost to Connect Sticks,68.6%,Medium
1168. Optimize Water Distribution in a Village,64.5%,Hard
1169. Invalid Transactions,31.1%,Medium
1170. Compare Strings by Frequency of the Smallest Character,61.6%,Medium
1171. Remove Zero Sum Consecutive Nodes from Linked List,43.2%,Medium
1172. Dinner Plate Stacks,33.1%,Hard
1173. Immediate Food Delivery I,82.3%,Easy
1174. Immediate Food Delivery II,60.6%,Medium
1175. Prime Arrangements,54.9%,Easy
1176. Diet Plan Performance,52.8%,Easy
1177. Can Make Palindrome from Substring,38.1%,Medium
1178. Number of Valid Words for Each Puzzle,46.2%,Hard
1179. Reformat Department Table,80.0%,Easy
1180. Count Substrings with Only One Distinct Letter,79.0%,Easy
1181. Before and After Puzzle,45.3%,Medium
1182. Shortest Distance to Target Color,55.4%,Medium
1183. Maximum Number of Ones,61.5%,Hard
1184. Distance Between Bus Stops,54.0%,Easy
1185. Day of the Week,57.4%,Easy
1186. Maximum Subarray Sum with One Deletion,41.5%,Medium
1187. Make Array Strictly Increasing,45.6%,Hard
1188. Design Bounded Blocking Queue,72.7%,Medium
1189. Maximum Number of Balloons,60.8%,Easy
1190. Reverse Substrings Between Each Pair of Parentheses,65.9%,Medium
1191. K-Concatenation Maximum Sum,23.7%,Medium
1192. Critical Connections in a Network,54.7%,Hard
1193. Monthly Transactions I,64.3%,Medium
1194. Tournament Winners,50.2%,Hard
1195. Fizz Buzz Multithreaded,72.7%,Medium
1196. How Many Apples Can You Put into the Basket,66.9%,Easy
1197. Minimum Knight Moves,39.7%,Medium
1198. Find Smallest Common Element in All Rows,76.5%,Medium
1199. Minimum Time to Build Blocks,41.0%,Hard
1200. Minimum Absolute Difference,69.6%,Easy
1201. Ugly Number III,29.0%,Medium
1202. Smallest String With Swaps,57.8%,Medium
1203. Sort Items by Groups Respecting Dependencies,51.2%,Hard
1204. Last Person to Fit in the Bus,71.5%,Medium
1205. Monthly Transactions II,42.6%,Medium
1206. Design Skiplist,60.4%,Hard
1207. Unique Number of Occurrences,73.5%,Easy
1208. Get Equal Substrings Within Budget,48.9%,Medium
1209. Remove All Adjacent Duplicates in String II,56.3%,Medium
1210. Minimum Moves to Reach Target with Rotations,49.3%,Hard
1211. Queries Quality and Percentage,69.4%,Easy
1212. Team Scores in Football Tournament,56.8%,Medium
1213. Intersection of Three Sorted Arrays,79.9%,Easy
1214. Two Sum BSTs,66.1%,Medium
1215. Stepping Numbers,46.4%,Medium
1216. Valid Palindrome III,50.4%,Hard
1217. Minimum Cost to Move Chips to The Same Position,71.8%,Easy
1218. Longest Arithmetic Subsequence of Given Difference,52.0%,Medium
1219. Path with Maximum Gold,63.7%,Medium
1220. Count Vowels Permutation,60.1%,Hard
1221. Split a String in Balanced Strings,85.3%,Easy
1222. Queens That Can Attack the King,71.8%,Medium
1223. Dice Roll Simulation,48.6%,Hard
1224. Maximum Equal Frequency,37.0%,Hard
1225. Report Contiguous Dates,61.3%,Hard
1226. The Dining Philosophers,55.2%,Medium
1227. Airplane Seat Assignment Probability,65.6%,Medium
1228. Missing Number In Arithmetic Progression,51.5%,Easy
1229. Meeting Scheduler,55.3%,Medium
1230. Toss Strange Coins,54.2%,Medium
1231. Divide Chocolate,57.6%,Hard
1232. Check If It Is a Straight Line,40.2%,Easy
1233. Remove Sub-Folders from the Filesystem,65.6%,Medium
1234. Replace the Substring for Balanced String,37.2%,Medium
1235. Maximum Profit in Job Scheduling,53.4%,Hard
1236. Web Crawler,67.4%,Medium
1237. Find Positive Integer Solution for a Given Equation,69.2%,Medium
1238. Circular Permutation in Binary Representation,69.0%,Medium
1239. Maximum Length of a Concatenated String with Unique Characters,52.2%,Medium
1240. Tiling a Rectangle with the Fewest Squares,54.0%,Hard
1241. Number of Comments per Post,66.0%,Easy
1242. Web Crawler Multithreaded,48.8%,Medium
1243. Array Transformation,51.2%,Easy
1244. Design A Leaderboard,68.5%,Medium
1245. Tree Diameter,61.4%,Medium
