Questions,Acceptance Rate,Difficulty,Links
515. Find Largest Value in Each Tree Row,64.50%,Medium,https://leetcode.com/problems/find-largest-value-in-each-tree-row/
516. Longest Palindromic Subsequence,61.80%,Medium,https://leetcode.com/problems/longest-palindromic-subsequence/
517. Super Washing Machines,40.40%,Hard,https://leetcode.com/problems/super-washing-machines/
518. Coin Change II,60.80%,Medium,https://leetcode.com/problems/coin-change-ii/
519. Random Flip Matrix,40.20%,Medium,https://leetcode.com/problems/random-flip-matrix/
520. Detect Capital,56.90%,Easy,https://leetcode.com/problems/detect-capital/
521. Longest Uncommon Subsequence I,60.30%,Easy,https://leetcode.com/problems/longest-uncommon-subsequence-i/
522. Longest Uncommon Subsequence II,40.60%,Medium,https://leetcode.com/problems/longest-uncommon-subsequence-ii/
523. Continuous Subarray Sum,28.50%,Medium,https://leetcode.com/problems/continuous-subarray-sum/
524. Longest Word in Dictionary through Deleting,51.00%,Medium,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting/
525. Contiguous Array,46.80%,Medium,https://leetcode.com/problems/contiguous-array/
526. Beautiful Arrangement,64.40%,Medium,https://leetcode.com/problems/beautiful-arrangement/
527. Word Abbreviation,60.70%,Hard,https://leetcode.com/problems/word-abbreviation/
528. Random Pick with Weight,46.10%,Medium,https://leetcode.com/problems/random-pick-with-weight/
529. Minesweeper,65.80%,Medium,https://leetcode.com/problems/minesweeper/
530. Minimum Absolute Difference in BST,57.20%,Easy,https://leetcode.com/problems/minimum-absolute-difference-in-bst/
531. Lonely Pixel I,62.20%,Medium,https://leetcode.com/problems/lonely-pixel-i/
532. K-diff Pairs in an Array,41.30%,Medium,https://leetcode.com/problems/k-diff-pairs-in-an-array/
533. Lonely Pixel II,48.50%,Medium,https://leetcode.com/problems/lonely-pixel-ii/
534. Game Play Analysis III,81.50%,Medium,https://leetcode.com/problems/game-play-analysis-iii/
535. Encode and Decode TinyURL,86.00%,Medium,https://leetcode.com/problems/encode-and-decode-tinyurl/
536. Construct Binary Tree from String,56.30%,Medium,https://leetcode.com/problems/construct-binary-tree-from-string/
537. Complex Number Multiplication,71.40%,Medium,https://leetcode.com/problems/complex-number-multiplication/
538. Convert BST to Greater Tree,67.90%,Medium,https://leetcode.com/problems/convert-bst-to-greater-tree/
539. Minimum Time Difference,56.50%,Medium,https://leetcode.com/problems/minimum-time-difference/
540. Single Element in a Sorted Array,59.10%,Medium,https://leetcode.com/problems/single-element-in-a-sorted-array/
541. Reverse String II,50.40%,Easy,https://leetcode.com/problems/reverse-string-ii/
542. 01 Matrix,45.00%,Medium,https://leetcode.com/problems/01-matrix/
543. Diameter of Binary Tree,57.00%,Easy,https://leetcode.com/problems/diameter-of-binary-tree/
544. Output Contest Matches,77.00%,Medium,https://leetcode.com/problems/output-contest-matches/
545. Boundary of Binary Tree,44.60%,Medium,https://leetcode.com/problems/boundary-of-binary-tree/
546. Remove Boxes,47.60%,Hard,https://leetcode.com/problems/remove-boxes/
547. Number of Provinces,63.90%,Medium,https://leetcode.com/problems/number-of-provinces/
548. Split Array with Equal Sum,50.10%,Hard,https://leetcode.com/problems/split-array-with-equal-sum/
549. Binary Tree Longest Consecutive Sequence II,49.50%,Medium,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii/
550. Game Play Analysis IV,41.50%,Medium,https://leetcode.com/problems/game-play-analysis-iv/
551. Student Attendance Record I,48.20%,Easy,https://leetcode.com/problems/student-attendance-record-i/
552. Student Attendance Record II,41.50%,Hard,https://leetcode.com/problems/student-attendance-record-ii/
553. Optimal Division,60.00%,Medium,https://leetcode.com/problems/optimal-division/
554. Brick Wall,53.70%,Medium,https://leetcode.com/problems/brick-wall/
555. Split Concatenated Strings,43.60%,Medium,https://leetcode.com/problems/split-concatenated-strings/
556. Next Greater Element III,34.00%,Medium,https://leetcode.com/problems/next-greater-element-iii/
557. Reverse Words in a String III,81.90%,Easy,https://leetcode.com/problems/reverse-words-in-a-string-iii/
558. Logical OR of Two Binary Grids Represented as Quad-Trees,48.70%,Medium,https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees/
559. Maximum Depth of N-ary Tree,71.70%,Easy,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/
560. Subarray Sum Equals K,43.60%,Medium,https://leetcode.com/problems/subarray-sum-equals-k/
561. Array Partition,77.40%,Easy,https://leetcode.com/problems/array-partition/
562. Longest Line of Consecutive One in Matrix,50.30%,Medium,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix/
563. Binary Tree Tilt,60.20%,Easy,https://leetcode.com/problems/binary-tree-tilt/
564. Find the Closest Palindrome,21.90%,Hard,https://leetcode.com/problems/find-the-closest-palindrome/
565. Array Nesting,56.40%,Medium,https://leetcode.com/problems/array-nesting/
566. Reshape the Matrix,63.00%,Easy,https://leetcode.com/problems/reshape-the-matrix/
567. Permutation in String,44.30%,Medium,https://leetcode.com/problems/permutation-in-string/
568. Maximum Vacation Days,45.10%,Hard,https://leetcode.com/problems/maximum-vacation-days/
569. Median Employee Salary,67.00%,Hard,https://leetcode.com/problems/median-employee-salary/
570. Managers with at Least 5 Direct Reports,65.10%,Medium,https://leetcode.com/problems/managers-with-at-least-5-direct-reports/
571. Find Median Given Frequency of Numbers,43.20%,Hard,https://leetcode.com/problems/find-median-given-frequency-of-numbers/
572. Subtree of Another Tree,46.50%,Easy,https://leetcode.com/problems/subtree-of-another-tree/
573. Squirrel Simulation,55.20%,Medium,https://leetcode.com/problems/squirrel-simulation/
574. Winning Candidate,59.90%,Medium,https://leetcode.com/problems/winning-candidate/
575. Distribute Candies,66.50%,Easy,https://leetcode.com/problems/distribute-candies/
576. Out of Boundary Paths,44.30%,Medium,https://leetcode.com/problems/out-of-boundary-paths/
577. Employee Bonus,74.20%,Easy,https://leetcode.com/problems/employee-bonus/
578. Get Highest Answer Rate Question,40.80%,Medium,https://leetcode.com/problems/get-highest-answer-rate-question/
579. Find Cumulative Salary of an Employee,45.60%,Hard,https://leetcode.com/problems/find-cumulative-salary-of-an-employee/
580. Count Student Number in Departments,58.60%,Medium,https://leetcode.com/problems/count-student-number-in-departments/
581. Shortest Unsorted Continuous Subarray,36.50%,Medium,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/
582. Kill Process,68.80%,Medium,https://leetcode.com/problems/kill-process/
583. Delete Operation for Two Strings,60.00%,Medium,https://leetcode.com/problems/delete-operation-for-two-strings/
584. Find Customer Referee,69.30%,Easy,https://leetcode.com/problems/find-customer-referee/
585. Investments in 2016,50.40%,Medium,https://leetcode.com/problems/investments-in-2016/
586. Customer Placing the Largest Number of Orders,67.80%,Easy,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders/
587. Erect the Fence,52.10%,Hard,https://leetcode.com/problems/erect-the-fence/
588. Design In-Memory File System,48.50%,Hard,https://leetcode.com/problems/design-in-memory-file-system/
589. N-ary Tree Preorder Traversal,75.80%,Easy,https://leetcode.com/problems/n-ary-tree-preorder-traversal/
590. N-ary Tree Postorder Traversal,77.50%,Easy,https://leetcode.com/problems/n-ary-tree-postorder-traversal/
591. Tag Validator,37.20%,Hard,https://leetcode.com/problems/tag-validator/
592. Fraction Addition and Subtraction,52.50%,Medium,https://leetcode.com/problems/fraction-addition-and-subtraction/
593. Valid Square,43.90%,Medium,https://leetcode.com/problems/valid-square/
594. Longest Harmonious Subsequence,53.60%,Easy,https://leetcode.com/problems/longest-harmonious-subsequence/
595. Big Countries,69.50%,Easy,https://leetcode.com/problems/big-countries/
596. Classes More Than 5 Students,48.50%,Easy,https://leetcode.com/problems/classes-more-than-5-students/
597. Friend Requests I: Overall Acceptance Rate,42.30%,Easy,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate/
598. Range Addition II,55.40%,Easy,https://leetcode.com/problems/range-addition-ii/
599. Minimum Index Sum of Two Lists,53.60%,Easy,https://leetcode.com/problems/minimum-index-sum-of-two-lists/
600. Non-negative Integers without Consecutive Ones,39.20%,Hard,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones/
601. Human Traffic of Stadium,49.40%,Hard,https://leetcode.com/problems/human-traffic-of-stadium/
602. Friend Requests II: Who Has the Most Friends,60.10%,Medium,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends/
603. Consecutive Available Seats,67.20%,Easy,https://leetcode.com/problems/consecutive-available-seats/
604. Design Compressed String Iterator,39.60%,Easy,https://leetcode.com/problems/design-compressed-string-iterator/
605. Can Place Flowers,32.50%,Easy,https://leetcode.com/problems/can-place-flowers/
606. Construct String from Binary Tree,64.20%,Easy,https://leetcode.com/problems/construct-string-from-binary-tree/
607. Sales Person,68.40%,Easy,https://leetcode.com/problems/sales-person/
608. Tree Node,71.60%,Medium,https://leetcode.com/problems/tree-node/
609. Find Duplicate File in System,67.70%,Medium,https://leetcode.com/problems/find-duplicate-file-in-system/
610. Triangle Judgement,70.60%,Easy,https://leetcode.com/problems/triangle-judgement/
611. Valid Triangle Number,50.60%,Medium,https://leetcode.com/problems/valid-triangle-number/
612. Shortest Distance in a Plane,62.50%,Medium,https://leetcode.com/problems/shortest-distance-in-a-plane/
613. Shortest Distance in a Line,80.80%,Easy,https://leetcode.com/problems/shortest-distance-in-a-line/
614. Second Degree Follower,37.60%,Medium,https://leetcode.com/problems/second-degree-follower/
615. Average Salary: Departments VS Company,56.20%,Hard,https://leetcode.com/problems/average-salary-departments-vs-company/
616. Add Bold Tag in String,48.90%,Medium,https://leetcode.com/problems/add-bold-tag-in-string/
617. Merge Two Binary Trees,78.70%,Easy,https://leetcode.com/problems/merge-two-binary-trees/
618. Students Report By Geography,63.90%,Hard,https://leetcode.com/problems/students-report-by-geography/
619. Biggest Single Number,51.40%,Easy,https://leetcode.com/problems/biggest-single-number/
620. Not Boring Movies,72.30%,Easy,https://leetcode.com/problems/not-boring-movies/
621. Task Scheduler,56.50%,Medium,https://leetcode.com/problems/task-scheduler/
622. Design Circular Queue,51.50%,Medium,https://leetcode.com/problems/design-circular-queue/
623. Add One Row to Tree,59.50%,Medium,https://leetcode.com/problems/add-one-row-to-tree/
624. Maximum Distance in Arrays,41.80%,Medium,https://leetcode.com/problems/maximum-distance-in-arrays/
625. Minimum Factorization,33.50%,Medium,https://leetcode.com/problems/minimum-factorization/
626. Exchange Seats,69.60%,Medium,https://leetcode.com/problems/exchange-seats/
627. Swap Salary,83.00%,Easy,https://leetcode.com/problems/swap-salary/
628. Maximum Product of Three Numbers,45.70%,Easy,https://leetcode.com/problems/maximum-product-of-three-numbers/
629. K Inverse Pairs Array,42.60%,Hard,https://leetcode.com/problems/k-inverse-pairs-array/
630. Course Schedule III,40.20%,Hard,https://leetcode.com/problems/course-schedule-iii/
631. Design Excel Sum Formula,43.60%,Hard,https://leetcode.com/problems/design-excel-sum-formula/
632. Smallest Range Covering Elements from K Lists,61.10%,Hard,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
633. Sum of Square Numbers,34.30%,Medium,https://leetcode.com/problems/sum-of-square-numbers/
634. Find the Derangement of An Array,42.10%,Medium,https://leetcode.com/problems/find-the-derangement-of-an-array/
635. Design Log Storage System,62.40%,Medium,https://leetcode.com/problems/design-log-storage-system/
636. Exclusive Time of Functions,61.20%,Medium,https://leetcode.com/problems/exclusive-time-of-functions/
637. Average of Levels in Binary Tree,71.70%,Easy,https://leetcode.com/problems/average-of-levels-in-binary-tree/
638. Shopping Offers,53.10%,Medium,https://leetcode.com/problems/shopping-offers/
639. Decode Ways II,30.40%,Hard,https://leetcode.com/problems/decode-ways-ii/
640. Solve the Equation,43.50%,Medium,https://leetcode.com/problems/solve-the-equation/
641. Design Circular Deque,57.20%,Medium,https://leetcode.com/problems/design-circular-deque/
642. Design Search Autocomplete System,48.60%,Hard,https://leetcode.com/problems/design-search-autocomplete-system/
643. Maximum Average Subarray I,43.70%,Easy,https://leetcode.com/problems/maximum-average-subarray-i/
644. Maximum Average Subarray II,36.10%,Hard,https://leetcode.com/problems/maximum-average-subarray-ii/
645. Set Mismatch,42.60%,Easy,https://leetcode.com/problems/set-mismatch/
646. Maximum Length of Pair Chain,56.50%,Medium,https://leetcode.com/problems/maximum-length-of-pair-chain/
647. Palindromic Substrings,67.00%,Medium,https://leetcode.com/problems/palindromic-substrings/
648. Replace Words,62.70%,Medium,https://leetcode.com/problems/replace-words/
649. Dota2 Senate,48.10%,Medium,https://leetcode.com/problems/dota2-senate/
650. 2 Keys Keyboard,53.50%,Medium,https://leetcode.com/problems/2-keys-keyboard/
651. 4 Keys Keyboard,55.80%,Medium,https://leetcode.com/problems/4-keys-keyboard/
652. Find Duplicate Subtrees,59.00%,Medium,https://leetcode.com/problems/find-duplicate-subtrees/
653. Two Sum IV - Input is a BST,61.10%,Easy,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/
654. Maximum Binary Tree,84.80%,Medium,https://leetcode.com/problems/maximum-binary-tree/
655. Print Binary Tree,62.10%,Medium,https://leetcode.com/problems/print-binary-tree/
656. Coin Path,31.80%,Hard,https://leetcode.com/problems/coin-path/
657. Robot Return to Origin,75.30%,Easy,https://leetcode.com/problems/robot-return-to-origin/
658. Find K Closest Elements,46.80%,Medium,https://leetcode.com/problems/find-k-closest-elements/
659. Split Array into Consecutive Subsequences,50.80%,Medium,https://leetcode.com/problems/split-array-into-consecutive-subsequences/
660. Remove 9,57.30%,Hard,https://leetcode.com/problems/remove-9/
661. Image Smoother,55.50%,Easy,https://leetcode.com/problems/image-smoother/
662. Maximum Width of Binary Tree,42.70%,Medium,https://leetcode.com/problems/maximum-width-of-binary-tree/
663. Equal Tree Partition,41.40%,Medium,https://leetcode.com/problems/equal-tree-partition/
664. Strange Printer,46.90%,Hard,https://leetcode.com/problems/strange-printer/
665. Non-decreasing Array,24.30%,Medium,https://leetcode.com/problems/non-decreasing-array/
666. Path Sum IV,59.50%,Medium,https://leetcode.com/problems/path-sum-iv/
667. Beautiful Arrangement II,59.80%,Medium,https://leetcode.com/problems/beautiful-arrangement-ii/
668. Kth Smallest Number in Multiplication Table,51.40%,Hard,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/
669. Trim a Binary Search Tree,66.40%,Medium,https://leetcode.com/problems/trim-a-binary-search-tree/
670. Maximum Swap,47.80%,Medium,https://leetcode.com/problems/maximum-swap/
671. Second Minimum Node In a Binary Tree,44.10%,Easy,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/
672. Bulb Switcher II,50.40%,Medium,https://leetcode.com/problems/bulb-switcher-ii/
673. Number of Longest Increasing Subsequence,43.00%,Medium,https://leetcode.com/problems/number-of-longest-increasing-subsequence/
674. Longest Continuous Increasing Subsequence,49.30%,Easy,https://leetcode.com/problems/longest-continuous-increasing-subsequence/
675. Cut Off Trees for Golf Event,34.10%,Hard,https://leetcode.com/problems/cut-off-trees-for-golf-event/
676. Implement Magic Dictionary,57.00%,Medium,https://leetcode.com/problems/implement-magic-dictionary/
677. Map Sum Pairs,56.80%,Medium,https://leetcode.com/problems/map-sum-pairs/
678. Valid Parenthesis String,34.20%,Medium,https://leetcode.com/problems/valid-parenthesis-string/
679. 24 Game,49.20%,Hard,https://leetcode.com/problems/24-game/
680. Valid Palindrome II,39.40%,Easy,https://leetcode.com/problems/valid-palindrome-ii/
681. Next Closest Time,46.40%,Medium,https://leetcode.com/problems/next-closest-time/
682. Baseball Game,74.50%,Easy,https://leetcode.com/problems/baseball-game/
683. K Empty Slots,37.00%,Hard,https://leetcode.com/problems/k-empty-slots/
684. Redundant Connection,62.30%,Medium,https://leetcode.com/problems/redundant-connection/
685. Redundant Connection II,34.10%,Hard,https://leetcode.com/problems/redundant-connection-ii/
686. Repeated String Match,34.20%,Medium,https://leetcode.com/problems/repeated-string-match/
687. Longest Univalue Path,40.50%,Medium,https://leetcode.com/problems/longest-univalue-path/
688. Knight Probability in Chessboard,52.10%,Medium,https://leetcode.com/problems/knight-probability-in-chessboard/
689. Maximum Sum of 3 Non-Overlapping Subarrays,48.90%,Hard,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/
690. Employee Importance,65.70%,Medium,https://leetcode.com/problems/employee-importance/
691. Stickers to Spell Word,46.40%,Hard,https://leetcode.com/problems/stickers-to-spell-word/
692. Top K Frequent Words,57.30%,Medium,https://leetcode.com/problems/top-k-frequent-words/
693. Binary Number with Alternating Bits,61.60%,Easy,https://leetcode.com/problems/binary-number-with-alternating-bits/
694. Number of Distinct Islands,60.80%,Medium,https://leetcode.com/problems/number-of-distinct-islands/
695. Max Area of Island,71.80%,Medium,https://leetcode.com/problems/max-area-of-island/
696. Count Binary Substrings,65.40%,Easy,https://leetcode.com/problems/count-binary-substrings/
697. Degree of an Array,56.00%,Easy,https://leetcode.com/problems/degree-of-an-array/
698. Partition to K Equal Sum Subsets,39.70%,Medium,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/
699. Falling Squares,44.70%,Hard,https://leetcode.com/problems/falling-squares/
700. Search in a Binary Search Tree,77.90%,Easy,https://leetcode.com/problems/search-in-a-binary-search-tree/
701. Insert into a Binary Search Tree,74.20%,Medium,https://leetcode.com/problems/insert-into-a-binary-search-tree/
702. Search in a Sorted Array of Unknown Size,71.60%,Medium,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size/
703. Kth Largest Element in a Stream,56.80%,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/
704. Binary Search,56.30%,Easy,https://leetcode.com/problems/binary-search/
705. Design HashSet,65.60%,Easy,https://leetcode.com/problems/design-hashset/
706. Design HashMap,64.60%,Easy,https://leetcode.com/problems/design-hashmap/
707. Design Linked List,27.70%,Medium,https://leetcode.com/problems/design-linked-list/
708. Insert into a Sorted Circular Linked List,34.60%,Medium,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/
709. To Lower Case,82.50%,Easy,https://leetcode.com/problems/to-lower-case/
710. Random Pick with Blacklist,33.50%,Hard,https://leetcode.com/problems/random-pick-with-blacklist/
711. Number of Distinct Islands II,52.10%,Hard,https://leetcode.com/problems/number-of-distinct-islands-ii/
712. Minimum ASCII Delete Sum for Two Strings,62.60%,Medium,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/
713. Subarray Product Less Than K,45.90%,Medium,https://leetcode.com/problems/subarray-product-less-than-k/
714. Best Time to Buy and Sell Stock with Transaction Fee,65.40%,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/
715. Range Module,44.60%,Hard,https://leetcode.com/problems/range-module/
716. Max Stack,45.10%,Hard,https://leetcode.com/problems/max-stack/
717. 1-bit and 2-bit Characters,45.60%,Easy,https://leetcode.com/problems/1-bit-and-2-bit-characters/
718. Maximum Length of Repeated Subarray,51.20%,Medium,https://leetcode.com/problems/maximum-length-of-repeated-subarray/
719. Find K-th Smallest Pair Distance,36.80%,Hard,https://leetcode.com/problems/find-k-th-smallest-pair-distance/
720. Longest Word in Dictionary,52.00%,Medium,https://leetcode.com/problems/longest-word-in-dictionary/
721. Accounts Merge,56.30%,Medium,https://leetcode.com/problems/accounts-merge/
722. Remove Comments,38.30%,Medium,https://leetcode.com/problems/remove-comments/
723. Candy Crush,76.60%,Medium,https://leetcode.com/problems/candy-crush/
724. Find Pivot Index,55.10%,Easy,https://leetcode.com/problems/find-pivot-index/
725. Split Linked List in Parts,57.30%,Medium,https://leetcode.com/problems/split-linked-list-in-parts/
726. Number of Atoms,52.30%,Hard,https://leetcode.com/problems/number-of-atoms/
727. Minimum Window Subsequence,43.10%,Hard,https://leetcode.com/problems/minimum-window-subsequence/
728. Self Dividing Numbers,77.90%,Easy,https://leetcode.com/problems/self-dividing-numbers/
729. My Calendar I,56.80%,Medium,https://leetcode.com/problems/my-calendar-i/
730. Count Different Palindromic Subsequences,44.50%,Hard,https://leetcode.com/problems/count-different-palindromic-subsequences/
731. My Calendar II,55.00%,Medium,https://leetcode.com/problems/my-calendar-ii/
732. My Calendar III,71.50%,Hard,https://leetcode.com/problems/my-calendar-iii/
733. Flood Fill,62.30%,Easy,https://leetcode.com/problems/flood-fill/
734. Sentence Similarity,44.00%,Easy,https://leetcode.com/problems/sentence-similarity/
735. Asteroid Collision,44.40%,Medium,https://leetcode.com/problems/asteroid-collision/
736. Parse Lisp Expression,51.60%,Hard,https://leetcode.com/problems/parse-lisp-expression/
737. Sentence Similarity II,49.10%,Medium,https://leetcode.com/problems/sentence-similarity-ii/
738. Monotone Increasing Digits,47.30%,Medium,https://leetcode.com/problems/monotone-increasing-digits/
739. Daily Temperatures,66.20%,Medium,https://leetcode.com/problems/daily-temperatures/
740. Delete and Earn,56.90%,Medium,https://leetcode.com/problems/delete-and-earn/
741. Cherry Pickup,36.20%,Hard,https://leetcode.com/problems/cherry-pickup/
742. Closest Leaf in a Binary Tree,45.90%,Medium,https://leetcode.com/problems/closest-leaf-in-a-binary-tree/
743. Network Delay Time,52.00%,Medium,https://leetcode.com/problems/network-delay-time/
744. Find Smallest Letter Greater Than Target,46.20%,Easy,https://leetcode.com/problems/find-smallest-letter-greater-than-target/
745. Prefix and Suffix Search,41.20%,Hard,https://leetcode.com/problems/prefix-and-suffix-search/
746. Min Cost Climbing Stairs,63.50%,Easy,https://leetcode.com/problems/min-cost-climbing-stairs/
747. Largest Number At Least Twice of Others,47.30%,Easy,https://leetcode.com/problems/largest-number-at-least-twice-of-others/
748. Shortest Completing Word,59.20%,Easy,https://leetcode.com/problems/shortest-completing-word/
749. Contain Virus,51.00%,Hard,https://leetcode.com/problems/contain-virus/
750. Number Of Corner Rectangles,67.60%,Medium,https://leetcode.com/problems/number-of-corner-rectangles/
751. IP to CIDR,54.40%,Medium,https://leetcode.com/problems/ip-to-cidr/
752. Open the Lock,55.70%,Medium,https://leetcode.com/problems/open-the-lock/
753. Cracking the Safe,55.90%,Hard,https://leetcode.com/problems/cracking-the-safe/
754. Reach a Number,42.70%,Medium,https://leetcode.com/problems/reach-a-number/
755. Pour Water,46.50%,Medium,https://leetcode.com/problems/pour-water/
756. Pyramid Transition Matrix,52.70%,Medium,https://leetcode.com/problems/pyramid-transition-matrix/
757. Set Intersection Size At Least Two,43.90%,Hard,https://leetcode.com/problems/set-intersection-size-at-least-two/
758. Bold Words in String,50.90%,Medium,https://leetcode.com/problems/bold-words-in-string/
759. Employee Free Time,71.80%,Hard,https://leetcode.com/problems/employee-free-time/
760. Find Anagram Mappings,83.30%,Easy,https://leetcode.com/problems/find-anagram-mappings/
761. Special Binary String,60.40%,Hard,https://leetcode.com/problems/special-binary-string/
762. Prime Number of Set Bits in Binary Representation,68.10%,Easy,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/
763. Partition Labels,79.70%,Medium,https://leetcode.com/problems/partition-labels/
764. Largest Plus Sign,48.30%,Medium,https://leetcode.com/problems/largest-plus-sign/
765. Couples Holding Hands,56.60%,Hard,https://leetcode.com/problems/couples-holding-hands/
766. Toeplitz Matrix,68.50%,Easy,https://leetcode.com/problems/toeplitz-matrix/
767. Reorganize String,52.90%,Medium,https://leetcode.com/problems/reorganize-string/
768. Max Chunks To Make Sorted II,52.80%,Hard,https://leetcode.com/problems/max-chunks-to-make-sorted-ii/
769. Max Chunks To Make Sorted,58.30%,Medium,https://leetcode.com/problems/max-chunks-to-make-sorted/
770. Basic Calculator IV,55.20%,Hard,https://leetcode.com/problems/basic-calculator-iv/
771. Jewels and Stones,88.20%,Easy,https://leetcode.com/problems/jewels-and-stones/
772. Basic Calculator III,49.00%,Hard,https://leetcode.com/problems/basic-calculator-iii/
773. Sliding Puzzle,64.10%,Hard,https://leetcode.com/problems/sliding-puzzle/
774. Minimize Max Distance to Gas Station,51.80%,Hard,https://leetcode.com/problems/minimize-max-distance-to-gas-station/
775. Global and Local Inversions,43.20%,Medium,https://leetcode.com/problems/global-and-local-inversions/
776. Split BST,82.50%,Medium,https://leetcode.com/problems/split-bst/
777. Swap Adjacent in LR String,36.80%,Medium,https://leetcode.com/problems/swap-adjacent-in-lr-string/
778. Swim in Rising Water,59.90%,Hard,https://leetcode.com/problems/swim-in-rising-water/
779. K-th Symbol in Grammar,41.40%,Medium,https://leetcode.com/problems/k-th-symbol-in-grammar/
780. Reaching Points,32.60%,Hard,https://leetcode.com/problems/reaching-points/
781. Rabbits in Forest,54.60%,Medium,https://leetcode.com/problems/rabbits-in-forest/
782. Transform to Chessboard,51.40%,Hard,https://leetcode.com/problems/transform-to-chessboard/
783. Minimum Distance Between BST Nodes,59.30%,Easy,https://leetcode.com/problems/minimum-distance-between-bst-nodes/
784. Letter Case Permutation,73.80%,Medium,https://leetcode.com/problems/letter-case-permutation/
785. Is Graph Bipartite?,54.50%,Medium,https://leetcode.com/problems/is-graph-bipartite/
786. K-th Smallest Prime Fraction,51.90%,Medium,https://leetcode.com/problems/k-th-smallest-prime-fraction/
787. Cheapest Flights Within K Stops,37.10%,Medium,https://leetcode.com/problems/cheapest-flights-within-k-stops/
788. Rotated Digits,56.60%,Medium,https://leetcode.com/problems/rotated-digits/
789. Escape The Ghosts,61.00%,Medium,https://leetcode.com/problems/escape-the-ghosts/
790. Domino and Tromino Tiling,52.70%,Medium,https://leetcode.com/problems/domino-and-tromino-tiling/
791. Custom Sort String,69.00%,Medium,https://leetcode.com/problems/custom-sort-string/
792. Number of Matching Subsequences,51.60%,Medium,https://leetcode.com/problems/number-of-matching-subsequences/
793. Preimage Size of Factorial Zeroes Function,43.40%,Hard,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function/
794. Valid Tic-Tac-Toe State,35.00%,Medium,https://leetcode.com/problems/valid-tic-tac-toe-state/
795. Number of Subarrays with Bounded Maximum,52.70%,Medium,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/
796. Rotate String,55.50%,Easy,https://leetcode.com/problems/rotate-string/
797. All Paths From Source to Target,82.30%,Medium,https://leetcode.com/problems/all-paths-from-source-to-target/
798. Smallest Rotation with Highest Score,50.50%,Hard,https://leetcode.com/problems/smallest-rotation-with-highest-score/
799. Champagne Tower,51.30%,Medium,https://leetcode.com/problems/champagne-tower/
800. Similar RGB Color,66.90%,Easy,https://leetcode.com/problems/similar-rgb-color/
801. Minimum Swaps To Make Sequences Increasing,39.40%,Hard,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/
802. Find Eventual Safe States,57.20%,Medium,https://leetcode.com/problems/find-eventual-safe-states/
803. Bricks Falling When Hit,34.40%,Hard,https://leetcode.com/problems/bricks-falling-when-hit/
804. Unique Morse Code Words,82.60%,Easy,https://leetcode.com/problems/unique-morse-code-words/
805. Split Array With Same Average,25.70%,Hard,https://leetcode.com/problems/split-array-with-same-average/
806. Number of Lines To Write String,66.80%,Easy,https://leetcode.com/problems/number-of-lines-to-write-string/
807. Max Increase to Keep City Skyline,86.00%,Medium,https://leetcode.com/problems/max-increase-to-keep-city-skyline/
808. Soup Servings,43.60%,Medium,https://leetcode.com/problems/soup-servings/
809. Expressive Words,46.20%,Medium,https://leetcode.com/problems/expressive-words/
810. Chalkboard XOR Game,56.10%,Hard,https://leetcode.com/problems/chalkboard-xor-game/
811. Subdomain Visit Count,75.60%,Medium,https://leetcode.com/problems/subdomain-visit-count/
812. Largest Triangle Area,59.90%,Easy,https://leetcode.com/problems/largest-triangle-area/
813. Largest Sum of Averages,52.90%,Medium,https://leetcode.com/problems/largest-sum-of-averages/
814. Binary Tree Pruning,72.40%,Medium,https://leetcode.com/problems/binary-tree-pruning/
815. Bus Routes,45.60%,Hard,https://leetcode.com/problems/bus-routes/
816. Ambiguous Coordinates,56.30%,Medium,https://leetcode.com/problems/ambiguous-coordinates/
817. Linked List Components,57.50%,Medium,https://leetcode.com/problems/linked-list-components/
818. Race Car,43.40%,Hard,https://leetcode.com/problems/race-car/
