Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
852. Peak Index in a Mountain Array,68.90%,Medium,https://leetcode.com/problems/peak-index-in-a-mountain-array/,5.2K,"Array,Binary Search",
853. Car Fleet,50.30%,Medium,https://leetcode.com/problems/car-fleet/,2.4K,"Array,Stack,Sorting,Monotonic Stack",
854. K-Similar Strings,40.00%,Hard,https://leetcode.com/problems/k-similar-strings/,1K,"String,Breadth-First Search",
855. Exam Room,43.40%,Medium,https://leetcode.com/problems/exam-room/,1.2K,"Design,Heap (Priority Queue),Ordered Set",
856. Score of Parentheses,64.60%,Medium,https://leetcode.com/problems/score-of-parentheses/,,,True
857. Minimum Cost to Hire K Workers,52.40%,Hard,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/,2K,"Array,Greedy,Sorting,Heap (Priority Queue)",
858. Mirror Reflection,63.00%,Medium,https://leetcode.com/problems/mirror-reflection/,,,True
859. Buddy Strings,29.20%,Easy,https://leetcode.com/problems/buddy-strings/,1.8K,"Hash Table,String",
860. Lemonade Change,52.90%,Easy,https://leetcode.com/problems/lemonade-change/,,,True
861. Score After Flipping Matrix,74.90%,Medium,https://leetcode.com/problems/score-after-flipping-matrix/,1.4K,"Array,Greedy,Bit Manipulation,Matrix",
862. Shortest Subarray with Sum at Least K,26.00%,Hard,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/,,,True
863. All Nodes Distance K in Binary Tree,62.30%,Medium,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,8.5K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
864. Shortest Path to Get All Keys,45.60%,Hard,https://leetcode.com/problems/shortest-path-to-get-all-keys/,,,True
865. Smallest Subtree with all the Deepest Nodes,69.00%,Medium,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,,,True
866. Prime Palindrome,25.80%,Medium,https://leetcode.com/problems/prime-palindrome/,386,Math,
867. Transpose Matrix,64.60%,Easy,https://leetcode.com/problems/transpose-matrix/,,,True
868. Binary Gap,62.30%,Easy,https://leetcode.com/problems/binary-gap/,,,True
869. Reordered Power of 2,63.40%,Medium,https://leetcode.com/problems/reordered-power-of-2/,,,True
870. Advantage Shuffle,51.90%,Medium,https://leetcode.com/problems/advantage-shuffle/,,,True
871. Minimum Number of Refueling Stops,39.80%,Hard,https://leetcode.com/problems/minimum-number-of-refueling-stops/,,,True
872. Leaf-Similar Trees,67.70%,Easy,https://leetcode.com/problems/leaf-similar-trees/,,,True
873. Length of Longest Fibonacci Subsequence,48.30%,Medium,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/,1.8K,"Array,Hash Table,Dynamic Programming",
874. Walking Robot Simulation,39.10%,Medium,https://leetcode.com/problems/walking-robot-simulation/,165,"Array,Simulation",
875. Koko Eating Bananas,51.90%,Medium,https://leetcode.com/problems/koko-eating-bananas/,7.7K,"Array,Binary Search",
876. Middle of the Linked List,75.90%,Easy,https://leetcode.com/problems/middle-of-the-linked-list/,9.5K,"Linked List,Two Pointers",
877. Stone Game,69.80%,Medium,https://leetcode.com/problems/stone-game/,2.6K,"Array,Math,Dynamic Programming,Game Theory",
878. Nth Magical Number,35.30%,Hard,https://leetcode.com/problems/nth-magical-number/,,,True
879. Profitable Schemes,49.50%,Hard,https://leetcode.com/problems/profitable-schemes/,,,True
880. Decoded String at Index,28.40%,Medium,https://leetcode.com/problems/decoded-string-at-index/,,,True
881. Boats to Save People,55.80%,Medium,https://leetcode.com/problems/boats-to-save-people/,,,True
882. Reachable Nodes In Subdivided Graph,50.00%,Hard,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/,696,"Graph,Heap (Priority Queue),Shortest Path",
883. Projection Area of 3D Shapes,71.40%,Easy,https://leetcode.com/problems/projection-area-of-3d-shapes/,,,True
884. Uncommon Words from Two Sentences,66.40%,Easy,https://leetcode.com/problems/uncommon-words-from-two-sentences/,1.2K,"Hash Table,String",
885. Spiral Matrix III,73.70%,Medium,https://leetcode.com/problems/spiral-matrix-iii/,788,"Array,Matrix,Simulation",
886. Possible Bipartition,50.10%,Medium,https://leetcode.com/problems/possible-bipartition/,,,True
887. Super Egg Drop,27.10%,Hard,https://leetcode.com/problems/super-egg-drop/,3.2K,"Math,Binary Search,Dynamic Programming",
888. Fair Candy Swap,60.80%,Easy,https://leetcode.com/problems/fair-candy-swap/,,,True
889. Construct Binary Tree from Preorder and Postorder Traversal,71.10%,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/,,,True
890. Find and Replace Pattern,77.40%,Medium,https://leetcode.com/problems/find-and-replace-pattern/,,,True
891. Sum of Subsequence Widths,36.80%,Hard,https://leetcode.com/problems/sum-of-subsequence-widths/,,,True
892. Surface Area of 3D Shapes,64.20%,Easy,https://leetcode.com/problems/surface-area-of-3d-shapes/,,,True
893. Groups of Special-Equivalent Strings,71.10%,Medium,https://leetcode.com/problems/groups-of-special-equivalent-strings/,,,True
894. All Possible Full Binary Trees,80.00%,Medium,https://leetcode.com/problems/all-possible-full-binary-trees/,,,True
895. Maximum Frequency Stack,66.60%,Hard,https://leetcode.com/problems/maximum-frequency-stack/,,,True
896. Monotonic Array,58.40%,Easy,https://leetcode.com/problems/monotonic-array/,2K,Array,
897. Increasing Order Search Tree,78.40%,Easy,https://leetcode.com/problems/increasing-order-search-tree/,,,True
898. Bitwise ORs of Subarrays,37.30%,Medium,https://leetcode.com/problems/bitwise-ors-of-subarrays/,1.3K,"Array,Dynamic Programming,Bit Manipulation",
899. Orderly Queue,66.10%,Hard,https://leetcode.com/problems/orderly-queue/,,,True
900. RLE Iterator,59.40%,Medium,https://leetcode.com/problems/rle-iterator/,,,True
901. Online Stock Span,65.30%,Medium,https://leetcode.com/problems/online-stock-span/,5.2K,"Stack,Design,Monotonic Stack,Data Stream",
902. Numbers At Most N Given Digit Set,41.50%,Hard,https://leetcode.com/problems/numbers-at-most-n-given-digit-set/,,,True
903. Valid Permutations for DI Sequence,57.70%,Hard,https://leetcode.com/problems/valid-permutations-for-di-sequence/,,,True
904. Fruit Into Baskets,43.70%,Medium,https://leetcode.com/problems/fruit-into-baskets/,3.9K,"Array,Hash Table,Sliding Window",
905. Sort Array By Parity,75.50%,Easy,https://leetcode.com/problems/sort-array-by-parity/,4.4K,"Array,Two Pointers,Sorting",
906. Super Palindromes,38.90%,Hard,https://leetcode.com/problems/super-palindromes/,,,True
907. Sum of Subarray Minimums,35.70%,Medium,https://leetcode.com/problems/sum-of-subarray-minimums/,6.1K,"Array,Dynamic Programming,Stack,Monotonic Stack",
908. Smallest Range I,68.30%,Easy,https://leetcode.com/problems/smallest-range-i/,,,True
909. Snakes and Ladders,45.10%,Medium,https://leetcode.com/problems/snakes-and-ladders/,2.3K,"Array,Breadth-First Search,Matrix",
910. Smallest Range II,35.40%,Medium,https://leetcode.com/problems/smallest-range-ii/,,,True
911. Online Election,52.20%,Medium,https://leetcode.com/problems/online-election/,893,"Array,Hash Table,Binary Search,Design",
912. Sort an Array,59.10%,Medium,https://leetcode.com/problems/sort-an-array/,,,True
913. Cat and Mouse,34.80%,Hard,https://leetcode.com/problems/cat-and-mouse/,809,"Math,Dynamic Programming,Graph,Topological Sort,Memoization,Game Theory",
914. X of a Kind in a Deck of Cards,30.90%,Easy,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/,,,True
915. Partition Array into Disjoint Intervals,48.50%,Medium,https://leetcode.com/problems/partition-array-into-disjoint-intervals/,1.5K,Array,
916. Word Subsets,53.60%,Medium,https://leetcode.com/problems/word-subsets/,,,True
917. Reverse Only Letters,62.30%,Easy,https://leetcode.com/problems/reverse-only-letters/,,,True
918. Maximum Sum Circular Subarray,43.10%,Medium,https://leetcode.com/problems/maximum-sum-circular-subarray/,,,True
919. Complete Binary Tree Inserter,64.70%,Medium,https://leetcode.com/problems/complete-binary-tree-inserter/,,,True
920. Number of Music Playlists,50.70%,Hard,https://leetcode.com/problems/number-of-music-playlists/,891,"Math,Dynamic Programming,Combinatorics",
921. Minimum Add to Make Parentheses Valid,75.60%,Medium,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,3.4K,"String,Stack,Greedy",
922. Sort Array By Parity II,70.60%,Easy,https://leetcode.com/problems/sort-array-by-parity-ii/,2.3K,"Array,Two Pointers,Sorting",
923. 3Sum With Multiplicity,45.30%,Medium,https://leetcode.com/problems/3sum-with-multiplicity/,,,True
924. Minimize Malware Spread,42.20%,Hard,https://leetcode.com/problems/minimize-malware-spread/,,,True
925. Long Pressed Name,33.00%,Easy,https://leetcode.com/problems/long-pressed-name/,2.2K,"Two Pointers,String",
926. Flip String to Monotone Increasing,61.40%,Medium,https://leetcode.com/problems/flip-string-to-monotone-increasing/,,,True
927. Three Equal Parts,39.60%,Hard,https://leetcode.com/problems/three-equal-parts/,,,True
928. Minimize Malware Spread II,42.80%,Hard,https://leetcode.com/problems/minimize-malware-spread-ii/,,,True
929. Unique Email Addresses,67.00%,Easy,https://leetcode.com/problems/unique-email-addresses/,,,True
930. Binary Subarrays With Sum,52.60%,Medium,https://leetcode.com/problems/binary-subarrays-with-sum/,2.2K,"Array,Hash Table,Sliding Window,Prefix Sum",
931. Minimum Falling Path Sum,69.10%,Medium,https://leetcode.com/problems/minimum-falling-path-sum/,4.8K,"Array,Dynamic Programming,Matrix",
932. Beautiful Array,65.20%,Medium,https://leetcode.com/problems/beautiful-array/,,,True
933. Number of Recent Calls,73.20%,Easy,https://leetcode.com/problems/number-of-recent-calls/,,,True
934. Shortest Bridge,57.70%,Medium,https://leetcode.com/problems/shortest-bridge/,,,True
935. Knight Dialer,50.70%,Medium,https://leetcode.com/problems/knight-dialer/,,,True
936. Stamping The Sequence,62.80%,Hard,https://leetcode.com/problems/stamping-the-sequence/,,,True
937. Reorder Data in Log Files,56.40%,Medium,https://leetcode.com/problems/reorder-data-in-log-files/,,,True
938. Range Sum of BST,85.80%,Easy,https://leetcode.com/problems/range-sum-of-bst/,,,True
939. Minimum Area Rectangle,53.00%,Medium,https://leetcode.com/problems/minimum-area-rectangle/,,,True
940. Distinct Subsequences II,43.80%,Hard,https://leetcode.com/problems/distinct-subsequences-ii/,1.5K,"String,Dynamic Programming",
941. Valid Mountain Array,33.40%,Easy,https://leetcode.com/problems/valid-mountain-array/,2.6K,Array,
942. DI String Match,77.40%,Easy,https://leetcode.com/problems/di-string-match/,2.2K,"Array,Two Pointers,String,Greedy",
943. Find the Shortest Superstring,44.30%,Hard,https://leetcode.com/problems/find-the-shortest-superstring/,1.3K,"Array,String,Dynamic Programming,Bit Manipulation,Bitmask",
944. Delete Columns to Make Sorted,74.70%,Easy,https://leetcode.com/problems/delete-columns-to-make-sorted/,,,True
945. Minimum Increment to Make Array Unique,51.40%,Medium,https://leetcode.com/problems/minimum-increment-to-make-array-unique/,1.6K,"Array,Greedy,Sorting,Counting",
946. Validate Stack Sequences,69.40%,Medium,https://leetcode.com/problems/validate-stack-sequences/,,,True
947. Most Stones Removed with Same Row or Column,58.90%,Medium,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,,,True
948. Bag of Tokens,52.10%,Medium,https://leetcode.com/problems/bag-of-tokens/,,,True
949. Largest Time for Given Digits,35.20%,Medium,https://leetcode.com/problems/largest-time-for-given-digits/,647,"String,Enumeration",
950. Reveal Cards In Increasing Order,77.80%,Medium,https://leetcode.com/problems/reveal-cards-in-increasing-order/,,,True
951. Flip Equivalent Binary Trees,66.80%,Medium,https://leetcode.com/problems/flip-equivalent-binary-trees/,,,True
952. Largest Component Size by Common Factor,40.00%,Hard,https://leetcode.com/problems/largest-component-size-by-common-factor/,1.5K,"Array,Math,Union Find",
953. Verifying an Alien Dictionary,54.50%,Easy,https://leetcode.com/problems/verifying-an-alien-dictionary/,,,True
954. Array of Doubled Pairs,39.10%,Medium,https://leetcode.com/problems/array-of-doubled-pairs/,1.4K,"Array,Hash Table,Greedy,Sorting",
955. Delete Columns to Make Sorted II,34.70%,Medium,https://leetcode.com/problems/delete-columns-to-make-sorted-ii/,,,True
956. Tallest Billboard,39.80%,Hard,https://leetcode.com/problems/tallest-billboard/,874,"Array,Dynamic Programming",
957. Prison Cells After N Days,39.00%,Medium,https://leetcode.com/problems/prison-cells-after-n-days/,,,True
958. Check Completeness of a Binary Tree,56.20%,Medium,https://leetcode.com/problems/check-completeness-of-a-binary-tree/,,,True
959. Regions Cut By Slashes,69.00%,Medium,https://leetcode.com/problems/regions-cut-by-slashes/,,,True
960. Delete Columns to Make Sorted III,56.90%,Hard,https://leetcode.com/problems/delete-columns-to-make-sorted-iii/,,,True
961. N-Repeated Element in Size 2N Array,76.10%,Easy,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/,,,True
962. Maximum Width Ramp,48.90%,Medium,https://leetcode.com/problems/maximum-width-ramp/,,,True
963. Minimum Area Rectangle II,54.60%,Medium,https://leetcode.com/problems/minimum-area-rectangle-ii/,,,True
964. Least Operators to Express Number,48.00%,Hard,https://leetcode.com/problems/least-operators-to-express-number/,,,True
965. Univalued Binary Tree,69.80%,Easy,https://leetcode.com/problems/univalued-binary-tree/,1.7K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
966. Vowel Spellchecker,51.40%,Medium,https://leetcode.com/problems/vowel-spellchecker/,,,True
967. Numbers With Same Consecutive Differences,57.40%,Medium,https://leetcode.com/problems/numbers-with-same-consecutive-differences/,,,True
968. Binary Tree Cameras,46.60%,Hard,https://leetcode.com/problems/binary-tree-cameras/,4.8K,"Dynamic Programming,Tree,Depth-First Search,Binary Tree",
969. Pancake Sorting,70.20%,Medium,https://leetcode.com/problems/pancake-sorting/,,,True
970. Powerful Integers,43.70%,Medium,https://leetcode.com/problems/powerful-integers/,,,True
971. Flip Binary Tree To Match Preorder Traversal,50.00%,Medium,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal/,,,True
972. Equal Rational Numbers,43.20%,Hard,https://leetcode.com/problems/equal-rational-numbers/,,,True
973. K Closest Points to Origin,65.80%,Medium,https://leetcode.com/problems/k-closest-points-to-origin/,7.4K,"Array,Math,Divide and Conquer,Geometry,Sorting,Heap (Priority Queue),Quickselect",
974. Subarray Sums Divisible by K,54.30%,Medium,https://leetcode.com/problems/subarray-sums-divisible-by-k/,5.8K,"Array,Hash Table,Prefix Sum",
975. Odd Even Jump,38.90%,Hard,https://leetcode.com/problems/odd-even-jump/,,,True
976. Largest Perimeter Triangle,54.70%,Easy,https://leetcode.com/problems/largest-perimeter-triangle/,2.8K,"Array,Math,Greedy,Sorting",
977. Squares of a Sorted Array,71.90%,Easy,https://leetcode.com/problems/squares-of-a-sorted-array/,7.8K,"Array,Two Pointers,Sorting",
978. Longest Turbulent Subarray,47.20%,Medium,https://leetcode.com/problems/longest-turbulent-subarray/,1.7K,"Array,Dynamic Programming,Sliding Window",
979. Distribute Coins in Binary Tree,72.30%,Medium,https://leetcode.com/problems/distribute-coins-in-binary-tree/,4.6K,"Tree,Depth-First Search,Binary Tree",
980. Unique Paths III,81.60%,Hard,https://leetcode.com/problems/unique-paths-iii/,4.6K,"Array,Backtracking,Bit Manipulation,Matrix",
981. Time Based Key-Value Store,51.90%,Medium,https://leetcode.com/problems/time-based-key-value-store/,4K,"Hash Table,String,Binary Search,Design",
982. Triples with Bitwise AND Equal To Zero,57.60%,Hard,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero/,,,True
983. Minimum Cost For Tickets,65.80%,Medium,https://leetcode.com/problems/minimum-cost-for-tickets/,7.1K,"Array,Dynamic Programming",
984. String Without AAA or BBB,43.30%,Medium,https://leetcode.com/problems/string-without-aaa-or-bbb/,,,True
985. Sum of Even Numbers After Queries,68.10%,Medium,https://leetcode.com/problems/sum-of-even-numbers-after-queries/,,,True
986. Interval List Intersections,71.30%,Medium,https://leetcode.com/problems/interval-list-intersections/,5.1K,"Array,Two Pointers",
987. Vertical Order Traversal of a Binary Tree,45.20%,Hard,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,,,True
988. Smallest String Starting From Leaf,50.30%,Medium,https://leetcode.com/problems/smallest-string-starting-from-leaf/,1.5K,"String,Tree,Depth-First Search,Binary Tree",
989. Add to Array-Form of Integer,46.90%,Easy,https://leetcode.com/problems/add-to-array-form-of-integer/,3.1K,"Array,Math",
990. Satisfiability of Equality Equations,50.50%,Medium,https://leetcode.com/problems/satisfiability-of-equality-equations/,,,True
991. Broken Calculator,54.20%,Medium,https://leetcode.com/problems/broken-calculator/,2.5K,"Math,Greedy",
992. Subarrays with K Different Integers,54.70%,Hard,https://leetcode.com/problems/subarrays-with-k-different-integers/,4.3K,"Array,Hash Table,Sliding Window,Counting",
993. Cousins in Binary Tree,54.80%,Easy,https://leetcode.com/problems/cousins-in-binary-tree/,3.6K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
994. Rotting Oranges,53.10%,Medium,https://leetcode.com/problems/rotting-oranges/,10.4K,"Array,Breadth-First Search,Matrix",
995. Minimum Number of K Consecutive Bit Flips,51.20%,Hard,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/,1.1K,"Array,Bit Manipulation,Queue,Sliding Window,Prefix Sum",
996. Number of Squareful Arrays,49.20%,Hard,https://leetcode.com/problems/number-of-squareful-arrays/,877,"Array,Math,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",
997. Find the Town Judge,49.50%,Easy,https://leetcode.com/problems/find-the-town-judge/,5.6K,"Array,Hash Table,Graph",
998. Maximum Binary Tree II,67.40%,Medium,https://leetcode.com/problems/maximum-binary-tree-ii/,480,"Tree,Binary Tree",
999. Available Captures for Rook,68.20%,Easy,https://leetcode.com/problems/available-captures-for-rook/,582,"Array,Matrix,Simulation",
1000. Minimum Cost to Merge Stones,42.30%,Hard,https://leetcode.com/problems/minimum-cost-to-merge-stones/,2.1K,"Array,Dynamic Programming,Prefix Sum",
1001. Grid Illumination,36.20%,Hard,https://leetcode.com/problems/grid-illumination/,541,"Array,Hash Table",
1002. Find Common Characters,68.50%,Easy,https://leetcode.com/problems/find-common-characters/,3.1K,"Array,Hash Table,String",
1003. Check If Word Is Valid After Substitutions,58.40%,Medium,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions/,821,"String,Stack",
1004. Max Consecutive Ones III,63.20%,Medium,https://leetcode.com/problems/max-consecutive-ones-iii/,6.4K,"Array,Binary Search,Sliding Window,Prefix Sum",
1005. Maximize Sum Of Array After K Negations,50.80%,Easy,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations/,1.3K,"Array,Greedy,Sorting",
1006. Clumsy Factorial,55.70%,Medium,https://leetcode.com/problems/clumsy-factorial/,,,True
1007. Minimum Domino Rotations For Equal Row,52.30%,Medium,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row/,,,True
1008. Construct Binary Search Tree from Preorder Traversal,81.20%,Medium,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,,,True
1009. Complement of Base 10 Integer,61.40%,Easy,https://leetcode.com/problems/complement-of-base-10-integer/,,,True
1010. Pairs of Songs With Total Durations Divisible by 60,52.70%,Medium,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/,3.9K,"Array,Hash Table,Counting",
1011. Capacity To Ship Packages Within D Days,67.80%,Medium,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,7.9K,"Array,Binary Search",
1012. Numbers With Repeated Digits,39.70%,Hard,https://leetcode.com/problems/numbers-with-repeated-digits/,,,True
1013. Partition Array Into Three Parts With Equal Sum,42.60%,Easy,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/,1.5K,"Array,Greedy",
1014. Best Sightseeing Pair,59.40%,Medium,https://leetcode.com/problems/best-sightseeing-pair/,,,True
1015. Smallest Integer Divisible by K,46.90%,Medium,https://leetcode.com/problems/smallest-integer-divisible-by-k/,,,True
1016. Binary String With Substrings Representing 1 To N,57.30%,Medium,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n/,,,True
1017. Convert to Base -2,60.60%,Medium,https://leetcode.com/problems/convert-to-base-2/,466,Math,
1018. Binary Prefix Divisible By 5,46.80%,Easy,https://leetcode.com/problems/binary-prefix-divisible-by-5/,659,Array,
1019. Next Greater Node In Linked List,60.00%,Medium,https://leetcode.com/problems/next-greater-node-in-linked-list/,,,True
1020. Number of Enclaves,68.70%,Medium,https://leetcode.com/problems/number-of-enclaves/,,,True
1021. Remove Outermost Parentheses,80.80%,Easy,https://leetcode.com/problems/remove-outermost-parentheses/,,,True
1022. Sum of Root To Leaf Binary Numbers,73.50%,Easy,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,,,True
1023. Camelcase Matching,60.90%,Medium,https://leetcode.com/problems/camelcase-matching/,,,True
1024. Video Stitching,50.50%,Medium,https://leetcode.com/problems/video-stitching/,,,True
1025. Divisor Game,67.70%,Easy,https://leetcode.com/problems/divisor-game/,,,True
1026. Maximum Difference Between Node and Ancestor,75.70%,Medium,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/,,,True
1027. Longest Arithmetic Subsequence,46.70%,Medium,https://leetcode.com/problems/longest-arithmetic-subsequence/,2.8K,"Array,Hash Table,Binary Search,Dynamic Programming",
1028. Recover a Tree From Preorder Traversal,73.30%,Hard,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal/,,,True
1029. Two City Scheduling,65.50%,Medium,https://leetcode.com/problems/two-city-scheduling/,4.3K,"Array,Greedy,Sorting",
1030. Matrix Cells in Distance Order,69.80%,Easy,https://leetcode.com/problems/matrix-cells-in-distance-order/,645,"Array,Math,Geometry,Sorting,Matrix",
1031. Maximum Sum of Two Non-Overlapping Subarrays,59.60%,Medium,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays/,,,True
1032. Stream of Characters,51.60%,Hard,https://leetcode.com/problems/stream-of-characters/,,,True
1033. Moving Stones Until Consecutive,46.40%,Medium,https://leetcode.com/problems/moving-stones-until-consecutive/,,,True
1034. Coloring A Border,49.20%,Medium,https://leetcode.com/problems/coloring-a-border/,622,"Array,Depth-First Search,Breadth-First Search,Matrix",
1035. Uncrossed Lines,61.90%,Medium,https://leetcode.com/problems/uncrossed-lines/,3.4K,"Array,Dynamic Programming",
1036. Escape a Large Maze,34.20%,Hard,https://leetcode.com/problems/escape-a-large-maze/,,,True
1037. Valid Boomerang,36.90%,Easy,https://leetcode.com/problems/valid-boomerang/,,,True
1038. Binary Search Tree to Greater Sum Tree,85.50%,Medium,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,,,True
1039. Minimum Score Triangulation of Polygon,55.80%,Medium,https://leetcode.com/problems/minimum-score-triangulation-of-polygon/,,,True
1040. Moving Stones Until Consecutive II,56.20%,Medium,https://leetcode.com/problems/moving-stones-until-consecutive-ii/,341,"Array,Math,Two Pointers,Sorting",
1041. Robot Bounded In Circle,55.30%,Medium,https://leetcode.com/problems/robot-bounded-in-circle/,,,True
1042. Flower Planting With No Adjacent,50.60%,Medium,https://leetcode.com/problems/flower-planting-with-no-adjacent/,,,True
1043. Partition Array for Maximum Sum,71.70%,Medium,https://leetcode.com/problems/partition-array-for-maximum-sum/,3.3K,"Array,Dynamic Programming",
1044. Longest Duplicate Substring,30.60%,Hard,https://leetcode.com/problems/longest-duplicate-substring/,,,True
1045. Customers Who Bought All Products,65.20%,Medium,https://leetcode.com/problems/customers-who-bought-all-products/,,,True
1046. Last Stone Weight,65.50%,Easy,https://leetcode.com/problems/last-stone-weight/,,,True
1047. Remove All Adjacent Duplicates In String,69.40%,Easy,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,5.8K,"String,Stack",
1048. Longest String Chain,59.30%,Medium,https://leetcode.com/problems/longest-string-chain/,,,True
1049. Last Stone Weight II,53.40%,Medium,https://leetcode.com/problems/last-stone-weight-ii/,2.7K,"Array,Dynamic Programming",
1050. Actors and Directors Who Cooperated At Least Three Times,70.10%,Easy,https://leetcode.com/problems/actors-and-directors-who-cooperated-at-least-three-times/,,,True
1051. Height Checker,75.70%,Easy,https://leetcode.com/problems/height-checker/,,,True
1052. Grumpy Bookstore Owner,57.10%,Medium,https://leetcode.com/problems/grumpy-bookstore-owner/,,,True
1053. Previous Permutation With One Swap,50.30%,Medium,https://leetcode.com/problems/previous-permutation-with-one-swap/,,,True
1054. Distant Barcodes,45.90%,Medium,https://leetcode.com/problems/distant-barcodes/,,,True
1055. Shortest Way to Form String,59.80%,Medium,https://leetcode.com/problems/shortest-way-to-form-string/,,,True
1056. Confusing Number,48.40%,Easy,https://leetcode.com/problems/confusing-number/,,,True
1057. Campus Bikes,57.60%,Medium,https://leetcode.com/problems/campus-bikes/,,,True
1058. Minimize Rounding Error to Meet Target,45.00%,Medium,https://leetcode.com/problems/minimize-rounding-error-to-meet-target/,,,True
1059. All Paths from Source Lead to Destination,39.00%,Medium,https://leetcode.com/problems/all-paths-from-source-lead-to-destination/,,,True
1060. Missing Element in Sorted Array,54.80%,Medium,https://leetcode.com/problems/missing-element-in-sorted-array/,,,True
1061. Lexicographically Smallest Equivalent String,76.60%,Medium,https://leetcode.com/problems/lexicographically-smallest-equivalent-string/,,,True
1062. Longest Repeating Substring,59.30%,Medium,https://leetcode.com/problems/longest-repeating-substring/,,,True
1063. Number of Valid Subarrays,74.50%,Hard,https://leetcode.com/problems/number-of-valid-subarrays/,,,True
1064. Fixed Point,64.10%,Easy,https://leetcode.com/problems/fixed-point/,,,True
1065. Index Pairs of a String,66.40%,Easy,https://leetcode.com/problems/index-pairs-of-a-string/,,,True
1066. Campus Bikes II,54.90%,Medium,https://leetcode.com/problems/campus-bikes-ii/,,,True
1067. Digit Count in Range,45.30%,Hard,https://leetcode.com/problems/digit-count-in-range/,,,True
1068. Product Sales Analysis I,81.70%,Easy,https://leetcode.com/problems/product-sales-analysis-i/,175,Database,
1069. Product Sales Analysis II,81.90%,Easy,https://leetcode.com/problems/product-sales-analysis-ii/,,,True
1070. Product Sales Analysis III,47.70%,Medium,https://leetcode.com/problems/product-sales-analysis-iii/,114,Database,
1071. Greatest Common Divisor of Strings,55.90%,Easy,https://leetcode.com/problems/greatest-common-divisor-of-strings/,3.5K,"Math,String",
1072. Flip Columns For Maximum Number of Equal Rows,63.50%,Medium,https://leetcode.com/problems/flip-columns-for-maximum-number-of-equal-rows/,,,True
1073. Adding Two Negabinary Numbers,36.40%,Medium,https://leetcode.com/problems/adding-two-negabinary-numbers/,,,True
1074. Number of Submatrices That Sum to Target,69.50%,Hard,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target/,2.9K,"Array,Hash Table,Matrix,Prefix Sum",
1075. Project Employees I,65.20%,Easy,https://leetcode.com/problems/project-employees-i/,153,Database,
1076. Project Employees II,50.10%,Easy,https://leetcode.com/problems/project-employees-ii/,,,True
1077. Project Employees III,77.00%,Medium,https://leetcode.com/problems/project-employees-iii/,,,True
1078. Occurrences After Bigram,63.50%,Easy,https://leetcode.com/problems/occurrences-after-bigram/,,,True
1079. Letter Tile Possibilities,76.00%,Medium,https://leetcode.com/problems/letter-tile-possibilities/,,,True
1080. Insufficient Nodes in Root to Leaf Paths,53.70%,Medium,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/,587,"Tree,Depth-First Search,Binary Tree",
1081. Smallest Subsequence of Distinct Characters,58.00%,Medium,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters/,2.2K,"String,Stack,Greedy,Monotonic Stack",
1082. Sales Analysis I,74.70%,Easy,https://leetcode.com/problems/sales-analysis-i/,,,True
1083. Sales Analysis II,49.80%,Easy,https://leetcode.com/problems/sales-analysis-ii/,,,True
1084. Sales Analysis III,48.40%,Easy,https://leetcode.com/problems/sales-analysis-iii/,587,Database,
